Epoch,Loss,Prec@1,Prec@5
0,9.24275016784668,12.339,49.871
0,29.694120407104492,10.54,53.728
1,26.623199462890625,19.794,62.725
2,34.51824188232422,39.075,77.121
3,23.214319229125977,27.506,57.584
4,23.6529598236084,34.447,76.35
5,8.575550079345703,66.067,94.344
6,10.410659790039062,50.129,91.003
7,11.564570426940918,64.781,93.83
8,6.61860990524292,78.149,95.373
9,4.754950046539307,81.234,96.401
10,5.056769847869873,80.206,97.686
0,5.470419883728027,83.548,96.915
1,5.187510013580322,82.776,98.201
2,4.4624199867248535,84.319,98.458
3,5.2847700119018555,83.29,97.943
4,5.357439994812012,83.805,97.943
5,5.525569915771484,82.519,97.686
6,5.103449821472168,85.861,98.715
7,4.917640209197998,84.319,98.458
8,5.133699893951416,86.118,98.972
9,5.461870193481445,85.09,98.201
10,4.814780235290527,85.347,98.715
11,5.346089839935303,84.319,98.201
12,5.148940086364746,85.09,97.943
13,5.412680149078369,85.09,97.686
14,4.582910060882568,85.861,97.686
15,4.5248799324035645,85.604,97.943
16,4.688729763031006,85.604,97.686
17,4.776450157165527,85.347,98.972
18,5.109539985656738,85.604,97.429
19,4.607870101928711,85.861,97.686
20,5.075630187988281,86.118,96.915
21,4.966469764709473,84.576,98.458
22,4.524799823760986,85.347,98.458
23,4.691299915313721,84.833,98.201
24,4.773499965667725,85.347,97.943
25,4.7789201736450195,85.09,97.429
26,4.711019992828369,86.375,98.458
27,4.991569995880127,84.319,98.972
28,5.207429885864258,85.347,97.943
29,5.026000022888184,85.347,97.429
30,4.782410144805908,85.861,97.172
31,4.7164998054504395,84.576,98.715
32,5.401159763336182,84.062,97.686
33,5.196310043334961,85.347,97.172
34,4.933760166168213,85.347,98.458
35,4.773330211639404,85.09,97.943
36,4.9498701095581055,85.347,97.429
37,4.853610038757324,85.09,97.429
38,4.635869979858398,85.09,97.686
39,4.675680160522461,85.861,98.201
40,5.342319965362549,84.833,97.429
41,4.692009925842285,86.118,98.715
42,4.873610019683838,84.833,97.172
43,5.590240001678467,85.347,97.943
44,4.851600170135498,85.09,97.943
45,5.222219944000244,83.805,97.172
46,4.917520046234131,83.033,99.486
47,4.913859844207764,85.604,98.201
48,4.970059871673584,85.09,97.429
49,4.963890075683594,85.604,98.458
50,4.689000129699707,85.347,97.686
51,4.45782995223999,85.09,97.686
52,4.85621976852417,85.347,97.172
53,4.885930061340332,85.604,97.943
54,5.004479885101318,85.347,97.429
55,4.918759822845459,83.805,97.172
56,4.465849876403809,86.118,97.172
57,5.2464599609375,83.548,97.172
58,5.050789833068848,85.09,97.686
59,4.836460113525391,86.118,97.686
60,4.741419792175293,85.09,98.201
61,4.905439853668213,84.319,99.229
62,4.6975998878479,86.632,97.429
63,4.400469779968262,84.833,97.686
64,4.802549839019775,84.319,97.172
65,4.965889930725098,81.234,97.429
66,4.7825398445129395,85.861,97.429
67,4.6235198974609375,85.347,98.458
68,4.8480000495910645,85.347,97.429
69,4.756549835205078,86.118,97.686
70,5.286900043487549,86.118,97.172
71,5.468110084533691,85.604,97.172
72,5.688690185546875,84.062,98.201
73,4.87706995010376,86.118,98.715
74,4.569779872894287,85.604,98.458
75,4.784719944000244,86.118,97.429
76,4.961299896240234,85.604,97.686
77,4.761980056762695,85.09,98.201
78,4.913919925689697,86.118,98.201
79,4.507430076599121,85.861,97.172
80,4.741000175476074,86.632,97.429
81,4.940489768981934,84.576,98.458
82,4.600409984588623,86.375,97.943
83,4.396520137786865,85.604,97.943
84,4.8053297996521,85.347,98.458
85,4.909570217132568,86.118,97.429
86,4.643889904022217,86.375,96.915
87,5.152679920196533,86.118,98.201
88,4.8790202140808105,85.347,99.229
89,4.783050060272217,86.632,97.429
90,5.482490062713623,83.548,97.686
91,4.538509845733643,86.118,97.429
92,4.7576398849487305,85.604,98.715
93,5.283299922943115,84.062,97.943
94,4.5044097900390625,85.347,97.686
95,4.394649982452393,86.118,97.686
96,4.675439834594727,86.375,97.429
