Epoch,Loss,Prec@1,Prec@5
0,2.576080083847046,79.692,97.429
1,1.1796200275421143,87.661,99.743
2,1.6795400381088257,86.889,98.972
3,1.4937299489974976,87.918,98.715
4,1.8265999555587769,89.46,98.972
5,1.7215800285339355,89.974,98.972
6,1.6319799423217773,88.689,99.229
7,1.8977199792861938,87.918,98.972
8,1.6133699417114258,89.974,99.743
9,1.512719988822937,90.231,99.743
10,1.1048699617385864,90.231,100.0
11,1.9759000539779663,88.946,98.458
12,1.2906500101089478,92.031,100.0
13,1.6604499816894531,88.432,98.972
14,0.9986000061035156,92.031,99.486
15,1.5665099620819092,92.031,99.486
16,1.8482199907302856,89.974,98.201
17,1.439869999885559,91.774,99.229
18,1.741860032081604,88.946,98.715
19,1.281149983406067,89.203,99.229
20,1.0033400058746338,90.488,99.486
21,1.2594200372695923,92.031,100.0
22,2.0918500423431396,87.661,97.686
23,1.3675800561904907,91.003,99.486
24,1.0888099670410156,91.003,100.0
25,1.5219199657440186,91.517,98.972
26,1.0712100267410278,92.545,99.229
27,1.5306299924850464,90.745,99.486
28,1.6968400478363037,90.745,99.229
29,1.2364599704742432,92.031,100.0
30,0.7486900091171265,91.003,100.0
31,1.3923799991607666,91.774,100.0
32,1.275189995765686,91.517,99.743
33,1.2575900554656982,90.231,99.229
34,1.364150047302246,89.717,98.972
35,1.308519959449768,92.288,99.743
36,1.8973499536514282,89.974,98.715
37,2.3482699394226074,89.203,97.943
38,1.1762100458145142,90.231,99.743
39,2.0401999950408936,87.661,98.715
40,1.4908100366592407,87.404,98.715
41,1.812880039215088,90.745,99.743
42,1.4375200271606445,90.745,100.0
43,1.7402299642562866,87.404,98.458
44,1.618839979171753,88.946,99.229
45,1.837380051612854,88.946,99.229
46,1.406559944152832,88.689,99.229
47,1.0225800275802612,90.231,100.0
48,1.4971400499343872,91.003,99.229
49,1.099769949913025,91.517,99.743
50,1.431920051574707,91.003,99.743
51,1.6494799852371216,88.175,99.486
52,2.0739800930023193,88.946,98.972
53,1.3436100482940674,91.517,98.972
54,1.6156699657440186,89.203,99.229
55,1.3421299457550049,90.745,99.743
56,1.389299988746643,92.802,98.972
57,1.3939800262451172,91.003,98.972
58,1.2926599979400635,91.003,99.743
59,1.8972599506378174,89.203,98.972
60,1.6158900260925293,90.231,99.743
61,1.7213000059127808,89.717,99.229
62,1.6991300582885742,91.003,98.715
63,1.610159993171692,91.517,99.743
64,1.3914200067520142,89.46,100.0
65,1.348520040512085,91.774,99.486
66,1.2273099422454834,92.802,99.743
67,1.5191199779510498,90.488,99.486
68,0.995419979095459,91.517,99.229
69,2.61749005317688,85.861,97.429
70,1.5110499858856201,88.432,99.229
71,1.5153000354766846,91.26,99.486
72,2.042409896850586,87.147,98.715
73,1.4208099842071533,88.946,99.743
74,0.9490399956703186,92.545,100.0
75,1.6444300413131714,91.26,98.715
76,2.1658101081848145,88.175,98.972
77,1.5048400163650513,91.517,100.0
78,1.6684900522232056,90.745,99.743
79,2.058919906616211,87.404,98.715
80,0.9859300255775452,90.488,99.743
81,1.4668699502944946,90.745,99.229
82,1.9831899404525757,89.203,97.429
83,1.1130499839782715,93.316,100.0
84,1.2851799726486206,91.774,100.0
85,1.5586999654769897,91.003,100.0
86,2.1772899627685547,89.717,98.458
87,1.253999948501587,92.288,100.0
88,2.0786099433898926,87.918,98.715
89,0.9816799759864807,91.517,100.0
90,1.3307700157165527,90.745,99.743
91,1.845620036125183,88.946,98.715
92,1.1997400522232056,90.745,99.486
93,1.552649974822998,92.545,99.743
94,1.7106399536132812,87.404,98.458
95,0.7803199887275696,89.974,100.0
96,2.053260087966919,87.918,98.715
97,1.5999799966812134,91.517,98.972
98,1.6623799800872803,92.031,100.0
99,1.5145100355148315,90.488,99.486
100,1.5856300592422485,87.661,98.715
101,1.2041399478912354,92.802,99.743
102,2.1090099811553955,86.632,98.715
103,1.4016599655151367,90.745,99.743
104,1.6469099521636963,90.745,99.486
105,1.6674699783325195,89.717,99.743
106,1.415310025215149,87.147,99.743
107,1.368899941444397,90.231,99.229
108,1.0706299543380737,89.717,99.743
109,1.7664799690246582,88.946,98.201
110,0.955299973487854,89.46,100.0
111,2.06400990486145,85.861,98.972
112,0.9954500198364258,90.745,100.0
113,1.9363700151443481,90.231,98.458
114,1.1518000364303589,89.974,99.743
115,1.4722800254821777,88.946,98.972
116,1.3881700038909912,91.003,99.743
117,1.6072100400924683,90.231,98.715
118,1.8572299480438232,87.661,98.972
119,1.3854199647903442,90.745,100.0
120,1.994189977645874,87.404,98.972
121,1.5970900058746338,89.203,98.715
122,1.5365400314331055,89.717,98.715
123,1.13264000415802,89.717,99.743
124,1.205199956893921,91.517,99.229
125,2.206979990005493,88.946,99.229
126,1.7086999416351318,89.46,99.743
127,1.4144400358200073,88.175,99.486
128,2.367949962615967,85.09,98.458
129,1.177780032157898,88.946,99.743
130,2.228440046310425,87.404,98.715
131,1.4609099626541138,87.661,99.229
132,1.829990029335022,89.974,98.715
133,1.1785000562667847,88.175,98.972
134,0.796019971370697,93.059,100.0
135,0.8533200025558472,91.517,99.743
136,2.3924400806427,89.46,97.686
137,1.6376399993896484,89.974,98.972
138,1.66225004196167,90.488,99.486
139,1.6283899545669556,91.26,99.486
140,1.6019400358200073,90.231,99.486
141,1.666990041732788,87.661,99.743
142,1.5340399742126465,88.175,99.743
143,1.7569400072097778,89.46,99.743
144,2.1838901042938232,86.889,98.715
145,1.4466300010681152,88.946,99.486
146,1.1908899545669556,92.288,100.0
147,1.5894800424575806,89.717,98.715
148,1.8172500133514404,89.717,99.743
149,1.350890040397644,91.003,98.715
